scenario_id,modality,text,image_id,audio_id,expected_decision,actual_decision,expected_category,actual_category,expected_record_id,actual_record_id,expected_route,actual_route,route_ok,conflict_expected,conflict_detected,transcript,evidence,band,flags,verdict,correct,safety_note,final_response
MM3_B01,image-only,,IMG3_B03,,answer,clarify,medical,medical,first_aid_t1,,image_only,image_only,True,False,False,,"image=medical:0.317,restroom:0.303,lounge:0.298 margin=0.013 band=uncertain anchor=a blank or blurry image:0.229",uncertain,image_uncertain|image_no_clear_leader,over_cautious,False,safe: asked or declined where an answer was expected,"I am not sure what this sign shows; it may be medical (first aid and medical assistance) or restroom (toilets, including accessible toilets). What are you looking for?"
MM3_B02,image-only,,IMG3_B01,,clarify,clarify,baggage,baggage,,,image_only,image_only,True,False,False,,"image=baggage:0.366,transport:0.322,accessibility:0.311 margin=0.044 band=strong match anchor=a boarding pass or printed document:0.273",strong match,image_needs_terminal,correct,True,,This looks like a baggage sign. Are you in Terminal 1 or Terminal 2?
MM3_B03,image-only,,IMG3_B08,,abstain,abstain,,,,,image_only,image_only,True,False,False,,"image=lounge:0.180,information:0.163,restaurant:0.157 margin=0.018 band=no reliable match anchor=a blank or blurry image:0.227",no reliable match,image_not_recognised,correct,True,,I could not recognise an airport sign in this photo. // You can also type or say what you are looking for.
MM3_B04,voice-only,,,AUD3_B01,answer,answer,lost_property,lost_property,lost_property_t1,lost_property_t1,voice_only,voice_only,True,False,False,where is the lost property office?,stage=alias_lookup; audio_ok=True,strong match,,correct,True,,"Lost Property Office is in Terminal 1, Arrivals Hall. // Arrivals Hall, Terminal 1, beside the arrivals information desk."
MM3_B05,voice-only,,,AUD3_B02,clarify,clarify,restaurant,restaurant,,,voice_only,voice_only,True,False,False,"Sorry, quick one, but can I get a coffee around here?",stage=category_filter_semantic; text_score=0.363 margin=0.026; intent=find_restaurant(0.5763); audio_ok=True,uncertain,,correct,True,,There is more than one restaurant location. Are you in Terminal 1 or Terminal 2?
MM3_B06,voice-only,,,AUD3_B03,answer,answer,gate,gate,gates_pier_b,gates_pier_b,voice_only,voice_only,True,False,False,How do I get to gate B12?,stage=exact_identifier; audio_ok=True,strong match,,correct,True,,"Pier B Gates (B1–B18) is in Terminal 1, Pier B (Airside, Level 2). // After security North or South, follow signs for Gates B; Pier B is on the right past the Aurora Lounge. Walking time from security is about 7 minutes."
MM3_B07,text+image,Where is this?,IMG3_B06,,answer,clarify,transport,transport,taxi_rank_t1,,image_resolves_deictic,image_leads,True,False,False,,"stage=no_retrieval; image=transport:0.321,security:0.309,gate:0.302 margin=0.012 band=uncertain anchor=a boarding pass or printed document:0.237",uncertain,deictic|image_uncertain|image_no_clear_leader|image_text_sign,over_cautious,False,safe: asked or declined where an answer was expected,"This looks like a sign with writing on it, which I cannot read. What does it say, or what are you looking for?"
MM3_B08,text+image,"I am in Terminal 2, where is the nearest one of these?",IMG3_B04,,answer,answer,restaurant,restaurant,cafe_pier_c,cafe_pier_c,fuse_consistent,image_leads,True,False,False,,"stage=category_filter_semantic; text_score=0.474 margin=0.003; intent=find_transport(0.6091); image=restaurant:0.351,lounge:0.311,baggage:0.287 margin=0.041 band=strong match anchor=a photograph of food on a plate:0.246",strong match,text_weak,correct,True,,"From the photo this looks like a restaurant sign. // Your words did not match anything closely, so the answer comes from the photo. // Pier C Café is in Terminal 2, Pier C (Departures, Level 1). // Immediately after Terminal 2 security, on the right at the start of Pier C."
MM3_B09,text+image,Which belt do I collect my bag from in Terminal 1?,IMG3_B01,,answer,answer,baggage,baggage,baggage_reclaim_t1,baggage_reclaim_t1,fuse_consistent,text_leads,True,False,False,,"stage=category_filter_semantic; text_score=0.686 margin=0.686; intent=find_baggage_reclaim(0.5593); image=baggage:0.366,transport:0.322,accessibility:0.311 margin=0.044 band=strong match anchor=a boarding pass or printed document:0.273",strong match,image_agrees,correct,True,,"Baggage Reclaim, Terminal 1 (Belts 1–6) is in Terminal 1, Arrivals Hall. // From arriving flights, follow the baggage reclaim signs down to Level 0. // The photo agrees: it looks like a baggage sign."
MM3_B10,text+image,Where is the toilet?,IMG3_B04,,conflict,conflict,,restaurant,,,flag_cross_modal_conflict,image_leads,True,True,True,,"stage=category_filter_semantic; text_score=0.686 margin=0.065; intent=find_restroom(0.8951); image=restaurant:0.351,lounge:0.311,baggage:0.287 margin=0.041 band=strong match anchor=a photograph of food on a plate:0.246",uncertain,,correct,True,,"Your words point to restroom, but the photo looks like a restaurant sign. Which one do you mean? // Options: Restrooms, Terminal 2, Restrooms, Terminal 1 Departures and Airside, Skyline Restaurant, Harbour Café or Pier C Café."
