blind_id,query,expected_decision,actual_decision,expected_category,actual_category,expected_record_id,actual_record_id,candidates,stage,match_score,band,route,flags,verdict,correct,safety_note,final_response
T3_B001,where is gate A7,answer,answer,gate,gate,gates_pier_a,gates_pier_a,gates_pier_a,exact_identifier,,strong match,text_only,,correct,True,,"Pier A Gates (A1–A12) is in Terminal 1, Pier A (Airside, Level 2). // After security North or South, follow signs for Gates A across the Airside Plaza."
T3_B002,"im checking in at desk 214, wheres security after that",answer,answer,security,check_in,security_t2,checkin_t2,checkin_t2,exact_identifier,,strong match,text_only,landmark|terminal_from_landmark,wrong_confident,False,confident answer where none or another record was expected,"Check-in, Terminal 2 (Desks 201–230) is in Terminal 2, Departures. // Enter Terminal 2."
T3_B003,Is there a lounge in Terminal 2 or do I have to wait at the gate?,answer,answer,lounge,lounge,lounge_aurora,lounge_aurora,lounge_aurora,category_filter_semantic,0.5343,strong match,text_only,,correct,True,,"Aurora Lounge is in Terminal 1, Airside Plaza. // After security, cross the Airside Plaza towards Gates B."
T3_B004,What time does the last train into Nordhaven leave from the airport?,answer,answer,transport,transport,rail_station,rail_station,rail_station,alias_lookup,,strong match,text_only,,correct,True,,"Nordhaven Airport Rail Station: listed hours daily 04:30-00:45 (first to last train, synthetic timetable). // It is in Terminal 1, Below Terminal 1 (Rail station, Level -1)."
T3_B005,"I think I left my jacket on the plane and I have already come through into the arrivals hall, who do I need to speak to about that?",answer,clarify,lost_property,lost_property,lost_property_t1,,lost_property_t1,category_filter_semantic,0.3011,uncertain,text_only,,over_cautious,False,safe: asked or declined where an answer was expected,Do you mean Lost Property Office?
T3_B006,"my bag is coming out on belt 8, which terminal is that in?",answer,answer,baggage,baggage,baggage_reclaim_t2,baggage_reclaim_t2,baggage_reclaim_t2,exact_identifier,,strong match,text_only,,correct,True,,"Baggage Reclaim, Terminal 2 (Belts 7–9) is in Terminal 2, Arrivals. // From arriving flights at Pier C, follow reclaim signs down to Level 0."
T3_B007,"I am arriving by train and I use a wheelchair, where do I ask for help when I get off?",answer,answer,accessibility,accessibility,prm_point_rail,prm_point_t1_entrance,prm_point_t1_entrance,category_filter_semantic,0.5367,strong match,text_only,landmark|terminal_from_landmark,wrong_confident,False,confident answer where none or another record was expected,"Assistance Point, Terminal 1 Main Entrance is in Terminal 1, Main entrance (Arrivals, Level 0). // Accessibility: step-free access, induction loop, accessible toilet nearby. // Seating, call button and induction loop at the point itself. // Help: Airport assistance line +00 000 0000 (synthetic)."
T3_B008,how do i get from terminal 1 to terminal 2,answer,answer,transport,transport,shuttle_t1_t2,shuttle_t1_t2,shuttle_t1_t2,alias_lookup,,strong match,text_only,terminal_transfer,correct,True,,"Terminal Shuttle (T1 ↔ T2) is in Terminal 1, Forecourt, stop 9; Terminal 2 entrance (Arrivals, Level 0 (outside)). // Terminal 1: forecourt stop 9, left of the main exit. Terminal 2: directly outside the entrance. Journey time about 6 minutes."
T3_B009,Is there an accessible toilet on the arrivals level of Terminal 2?,answer,answer,restroom,restroom,restrooms_t2,restrooms_t2,restrooms_t2,category_filter_semantic,0.7934,strong match,text_only,,correct,True,,"Restrooms, Terminal 2 is in Terminal 2, Departures; Pier C. // Accessibility: step-free access, accessible toilet nearby. // The Arrivals level of Terminal 2 has no accessible toilet; use the Departures level. // Nearest assistance point: Assistance Point, Terminal 2."
T3_B010,"my father feels faint, we are still landside in Terminal 1, is there a nurse anywhere?",answer,answer,medical,medical,first_aid_t1,first_aid_t1,first_aid_t1,alias_lookup,,strong match,text_only,,correct,True,,"First Aid Room is in Terminal 1, Check-in Hall (beside Security North) (Departures, Level 1). // North end of the Check-in Hall, immediately beside the Security North entrance."
